DEPLOYED tuner_api TOTAL-RUNTIME test vs Python decline%  (trials=1000, mode=hybrid)
==================================================================================
seed_base=1
HW/runs/k/oh                  C_decl%     Py_decl%  diff(pp)
----------------------------------------------------------------------------------
680/10000/0.5/10000             7.023        6.717      0.31
680/10000/0.5/1000000          36.240       37.128     -0.89
680/10000000/0.5/10000          1.107        0.913      0.19
680/10000000/0.5/1000000        3.089        2.992      0.10
750/10000/0.5/100               5.742        5.506      0.24
750/10000/0.5/1000              6.382        6.213      0.17
750/10000/0.5/10000            10.174       10.027      0.15
750/10000/0.5/100000           10.572       10.276      0.30
750/10000/0.5/1000000          24.812       25.687     -0.88
750/1000000/0.5/100000          6.357        6.628     -0.27
750/1000000/0.5/1000000        11.281       11.620     -0.34
750/10000000/0.5/100            1.290        1.373     -0.08
750/10000000/0.5/1000           1.384        1.375      0.01
750/10000000/0.5/10000          1.331        1.323      0.01
750/10000000/0.5/1000000        6.655        6.960     -0.30
1070/10000/0.5/100              8.418        7.891      0.53
1070/10000/0.5/1000             8.755        9.231     -0.48
1070/10000/0.5/10000           10.875       11.131     -0.26
1070/10000/0.5/100000          14.910       15.100     -0.19
1070/10000/0.5/1000000        124.588      125.704     -1.12
1070/1000000/0.5/100000         7.885        6.845      1.04
1070/1000000/0.5/1000000       10.685       10.751     -0.07
1070/10000000/0.5/100           1.100        0.989      0.11
